Specific Gravity,Pressure (psia),LOG P,Hydrate Temperature (K)
0.865002784,1337.969904,7.198908747,294.3484239
0.692067101,1683.434956,7.428591602,292.8366212
0.535259746,835.7238255,6.728298206,285.2845992
0.609051128,2287.189095,7.735078873,292.97272
0.881121701,548.6009126,6.307371242,288.8983204
0.780802926,888.8991344,6.789983769,290.4802227
0.629269103,1473.911586,7.295675089,290.8164028
0.50492985,283.0921131,5.645772333,277.4263195
0.960892912,1966.43358,7.583976816,298.0486111
0.878235606,891.1523284,6.792515376,292.0111327
0.98887927,1009.65076,6.917359768,294.3406842
0.99899004,766.8256497,6.642259461,292.7128499
0.701841545,2241.618806,7.714953565,294.6994965
0.515304888,984.015202,6.891641346,285.8177301
0.914171575,478.2005839,6.170030276,288.4472251
0.751871351,496.708814,6.208003967,286.2182509
0.80150802,2200.971257,7.696654022,296.3286523
0.525518722,216.4849568,5.377521061,276.0219271
0.939894799,182.7341341,5.208032277,281.9533874
0.521383987,2404.947306,7.785283272,291.2519163
0.779930149,1601.00565,7.378387242,294.0884345
0.585595443,2210.01182,7.700753143,292.2667889
0.901971992,203.8916819,5.317588882,282.2550809
0.721963782,1084.694073,6.989053266,290.7182384
0.809655368,2111.642654,7.655221433,296.2186274
0.956965611,1784.783983,7.487052669,297.4159874
0.870579104,858.5566224,6.755252633,291.6609509
0.787688576,1436.621101,7.270049178,293.5641542
0.831376521,2314.91447,7.74712802,297.1033701
0.993130728,941.9594597,6.847962237,293.9568267
0.863660985,199.4828751,5.295728394,281.5522437
0.928056857,1907.346359,7.553468214,297.4092082
0.640862483,1599.473776,7.377429964,291.5391492
0.809192339,2295.202519,7.738576362,296.6983624
0.952991913,1782.395921,7.485713761,297.3532272
0.601326483,1469.552078,7.292712924,290.2150311
0.55300381,2133.612927,7.665572032,291.324997
0.502440994,2295.676461,7.738782833,290.5108511
0.67435937,1147.380972,7.045237208,290.1881022
0.964387271,829.8120557,6.721199236,292.7657402
0.524648063,741.7583677,6.60902354,284.2825303
0.774064479,716.2674923,6.57405369,288.9901708
0.957708671,2425.931867,7.793971005,299.242361
0.809202949,534.599056,6.281517038,287.6406412
0.704622205,1055.977465,6.962222124,290.239734
0.515535327,2096.499111,7.648024143,290.3214498
0.779802159,1394.966294,7.240625532,293.2551582
0.888439784,2619.407951,7.870703598,298.695596
0.90629093,1388.177547,7.235747049,295.1816812
0.849077831,2200.429323,7.696407767,297.0838818
0.848248873,1628.023119,7.395121747,295.2834097
0.639429915,2593.669629,7.860828997,294.3254663
0.865994616,2003.163108,7.602482764,296.7903566
0.5305835,722.2952718,6.582434019,284.2557011
0.932074794,2648.437768,7.881725224,299.3935945
0.566838414,1231.257299,7.115791121,288.3955603
0.592866111,393.8681977,5.97601633,281.6755156
0.914028874,1225.748152,7.111306673,294.5275071
0.891949055,1186.453431,7.078723826,294.0075687
0.910075367,1644.259325,7.405045303,296.26353
0.57765721,1712.762602,7.445862903,290.6070473
0.922966153,2125.757659,7.661883563,297.9790999
0.836517533,2233.173367,7.711178887,296.9745241
0.693036951,603.4416351,6.402649325,286.4709136
0.544936547,2169.427093,7.682218399,291.2314939
0.91909133,2392.455732,7.78007562,298.6170177
0.812461556,2256.390606,7.721521739,296.6518523
0.731875549,1446.614386,7.276981199,292.6532475
0.955188712,2660.255216,7.886177343,299.7439733
0.981198394,1318.910658,7.184561416,295.9056686
0.979548531,1959.733408,7.580563727,298.2819021
0.689292552,1810.763477,7.501503846,293.2162105
0.827629691,1629.402409,7.395968606,294.9672611
0.564449512,2448.26108,7.803133288,292.3779888
0.630303797,1660.151955,7.414664416,291.5458578
0.808598801,2545.135597,7.841939207,297.288191
0.761446557,1978.637906,7.590163961,295.0337431
0.695440123,2588.713824,7.858916438,295.4096889
0.68997753,1692.279539,7.433831739,292.8285682
0.513058646,950.1552904,6.856625435,285.5468584
0.992411131,1148.083145,7.045849,295.1938879
0.861463171,1738.191244,7.460600337,295.8780921
0.668010289,974.7836952,6.882215595,289.0592164
0.704697908,366.3271129,5.903526685,283.3408769
0.843891801,2507.177366,7.826912844,297.7635035
0.826484873,992.4044613,6.900130747,291.9063656
0.575904694,533.655499,6.279750498,283.3342939
0.811677578,483.5827091,6.181222364,287.0092302
0.745188327,677.4484596,6.518333475,288.1448423
0.721023247,595.274135,6.389022031,286.8838394
0.97018332,188.7586143,5.240469026,282.5923084
0.891218118,1808.588961,7.500302241,296.5602224
0.955614612,421.9658172,6.044924309,288.160812
0.786300649,380.9439128,5.942652154,284.9867982
0.782445258,1972.799934,7.587209099,295.371562
0.990611256,2193.051615,7.693049284,299.0969
0.945168229,1374.541654,7.225875612,295.6701146
0.970837106,241.4989417,5.486865091,284.4188086
0.525148425,767.6558476,6.643341518,284.5110381
0.696267388,2239.892182,7.714183011,294.5911063
0.56355167,173.9327407,5.158668677,275.2829576
0.686054946,1875.303366,7.536525721,293.3614707
0.783111804,1462.14456,7.287659514,293.5950478
0.885599683,1349.858268,7.207754879,294.7091406
0.711662557,1775.905925,7.482065952,293.5157619
0.761529445,1225.090338,7.110769866,292.155828
0.774743363,1146.77306,7.044707242,291.9714865
0.948986678,1590.017299,7.371500175,296.6099342
0.817753748,760.5124966,6.633992544,290.0793295
0.81232338,2085.425411,7.642728147,296.1884006
0.50482866,1151.749389,7.049037273,286.5183481
0.846043287,758.0550599,6.630756021,290.4951806
0.587482766,1245.809312,7.127540648,288.9234266
0.557986125,826.1419753,6.716766642,285.7375005
0.983670027,588.4808051,6.37754431,290.776414
0.902265813,1005.871655,6.913609763,293.1261242
0.853461506,2611.49214,7.867677038,298.1479124
0.78657092,1796.365975,7.493521,294.8860206
0.875098475,1469.241997,7.292501898,295.0702806
0.882759719,1699.070553,7.437836647,296.0614435
0.549297887,2388.32049,7.778345674,291.8849949
0.83211334,236.4523383,5.465746658,282.332787
0.859449027,2261.0644,7.723590955,297.4026008
0.841829636,2449.394891,7.80359629,297.5960973
0.747244787,1102.69462,7.005512118,291.2630659
0.701569701,326.8050867,5.789363928,282.4968276
0.50568535,1398.036728,7.242824194,287.7035379
0.736040407,586.6249964,6.374385768,287.0495739
0.573558551,818.6922796,6.707708286,286.0286939
0.640874552,2044.559271,7.62293753,292.9837259
0.774854428,714.4033792,6.57144776,288.9863975
0.796266712,2513.76083,7.829535249,297.0145502
0.90791256,269.7991654,5.59767785,284.3764018
0.683491911,361.036115,5.888977995,282.8583812
0.745321972,200.6075962,5.301350742,279.7642961
0.624231291,2212.974394,7.702092769,293.101659
0.545295558,297.2341281,5.694520138,278.7107914
0.850478577,2432.008579,7.796472771,297.6893053
0.828295309,449.7758751,6.108749403,286.7776684
0.656694855,766.7694411,6.642186158,287.3307599
0.512096685,2501.672769,7.824714895,291.2442991
0.930408115,2083.085143,7.641605316,297.9652457
0.787678501,2687.063655,7.896204298,297.2559978
0.626313441,225.1031502,5.416558742,278.4539702
0.830718133,1346.719803,7.205427139,293.8621641
0.521524854,2405.106401,7.785349423,291.2557729
0.654388981,2570.062129,7.851685352,294.5744271
0.890693292,2590.298923,7.859528562,298.6643828
0.970934483,2418.999652,7.791109367,299.407226
0.625495169,1259.409658,7.138398365,289.7916729
0.517117493,330.2280339,5.799783428,278.7820722
0.724895352,1789.571381,7.489731418,293.8004436
0.895259042,719.8605592,6.579057525,290.8879744
0.774383179,239.007048,5.476493041,281.5138679
0.513081343,2317.061081,7.748054886,290.8331693
0.805814086,1948.759251,7.574948168,295.6839391
0.870463647,2112.760928,7.655750868,297.1721006
0.708329936,1718.472884,7.449191317,293.2599969
0.751931317,1584.405748,7.367964694,293.5508192
0.967100746,2327.974779,7.752753975,299.1302817
0.755026609,315.4124137,5.753881032,283.1681534
0.566288027,2009.448125,7.605615399,291.2842811
0.666466186,1253.152933,7.133418001,290.5757664
0.644741449,1226.760151,7.11213195,290.0206691
0.861302766,2336.863193,7.756564793,297.6235178
0.898840643,2508.334615,7.827374312,298.5981698
0.592591529,686.5149712,6.531628033,285.3244024
0.573292488,1341.348061,7.201430403,289.0565549
0.894737551,634.7646693,6.453254331,290.0592475
0.68031348,1063.046969,6.968894563,289.8306322
0.634063257,921.7696227,6.826295325,288.0448826
0.884456644,827.788928,6.718758204,291.631866
0.732368491,147.2270241,4.991975777,277.2369754
0.983588732,2452.80482,7.804987473,299.6598959
0.847349898,1828.180391,7.511076429,295.9629912
0.627325245,1922.45679,7.561359225,292.3478578
0.5905941,1077.740421,6.982621926,288.1075378
0.926895486,800.1849075,6.684842835,292.0191883
0.700520828,1703.733485,7.44057729,293.0651142
0.919785706,2025.891153,7.613764958,297.6493307
0.695723133,575.0996271,6.35454329,286.2052247
0.978340503,622.5310409,6.433793492,291.0791404
0.978924838,787.516721,6.668884603,292.6224659
0.934007769,1272.811537,7.148983541,295.042129
0.866457594,2206.484173,7.699155656,297.3663699
0.900870265,587.2036245,6.37537165,289.6333177
0.671057983,1288.07496,7.160904104,290.8311398
0.791032335,2043.091238,7.622219253,295.7202346
0.639130476,1766.728527,7.476884826,292.0929562
0.963531229,2226.566903,7.708216173,298.8197476
0.521073255,160.4755975,5.078141891,273.7361162
0.938764577,201.6076339,5.306323402,282.6712019
0.599490962,834.5977316,6.72694985,286.7097763
0.646761099,1137.23589,7.036355939,289.597821
0.989050211,1506.981556,7.31786396,296.8269241
0.841726338,342.3004642,5.835688902,285.1054684
0.59258256,424.0488099,6.049848566,282.1669629
0.876464754,2338.047543,7.757071477,297.8562893
0.698183057,2475.452368,7.814178433,295.2043397
0.834671984,2151.719654,7.67402264,296.7279496
0.74582555,1086.38102,6.990607286,291.1463016
0.982592886,1119.075168,7.02025788,294.9042292
0.994022366,949.7606425,6.856209998,294.0209039
0.824090417,966.801159,6.873992848,291.7047201
0.830753525,1151.760151,7.049046617,292.9012013
0.889267114,1266.748045,7.144208301,294.3728244
0.55432797,2625.751193,7.873122303,292.5416726
0.955050696,883.0531868,6.783385433,293.0379072
0.500400078,491.7139812,6.197897208,281.043476
0.768204455,218.6452379,5.387450498,280.7688164
0.944195121,1337.686049,7.198696571,295.4898529
0.615778701,2294.54234,7.738288686,293.1335872
0.518769331,976.2427921,6.883711318,285.8536528
0.917563043,2391.828132,7.779813261,298.5935056
0.622083186,942.9000517,6.848960287,287.9432088
0.828826918,1765.133095,7.475981374,295.4648507
0.689423077,1017.658913,6.925260085,289.7307563
0.575033529,2357.505472,7.765359336,292.4024387
0.830308872,204.7201978,5.321644158,281.2532762
0.843115285,908.0468811,6.811296008,291.6035039
0.728122353,2528.733892,7.835474019,295.8756831
0.507795268,176.7194435,5.17456341,274.1338559
0.689422093,1983.673839,7.592705879,293.7547507
0.863268276,1277.263735,7.152475362,294.0375458
0.891552646,1872.156934,7.534846486,296.7710443
0.956873106,696.513246,6.546086811,291.5306939
0.552684164,1467.04836,7.291007743,289.1241006
0.624373925,1383.53803,7.232399287,290.3364337
0.908140315,1642.775661,7.404142566,296.2302007
0.554931305,317.9178716,5.761793084,279.3922848
0.980633059,1759.889157,7.473006107,297.6532081
0.50785998,1094.87098,6.998391809,286.2866914
0.610093255,2372.903348,7.771869526,293.2062494
0.612123893,1953.239278,7.577244442,292.1235336
0.874923921,1851.907271,7.523971344,296.4593011
0.8344792,1653.632225,7.410729496,295.163407
0.545263987,875.3490521,6.774622723,285.8076999
0.697967976,1277.588121,7.152729299,291.287619
0.942319032,1828.788723,7.511409127,297.3589155
0.698489611,960.3082998,6.867254379,289.5368337
0.799503311,1754.898741,7.470166437,294.9598462
0.884234724,1154.277663,7.051230027,293.7241654
0.818425671,1981.973769,7.59184848,295.9869046
0.652868376,1427.65385,7.263787712,291.0990005
0.601357702,1401.801055,7.245513157,289.9331894
0.729380265,2373.941586,7.772306969,295.5340159
0.796803057,2250.872247,7.719073085,296.3823288
0.50649327,1838.416832,7.516660063,289.3348702
0.660206853,1842.148146,7.51868764,292.7587288
0.931699368,1353.225078,7.210245969,295.3866586
0.987714261,2404.10112,7.784931358,299.5980755
0.698136017,2393.809751,7.780641414,295.0103362
0.872703151,1944.111107,7.572560137,296.7145548
0.834992194,2328.649628,7.75304382,297.1948772
0.871808875,1963.511725,7.582489845,296.7599242
0.820184184,1989.108646,7.595441901,296.0362074
0.602613363,1031.982505,6.939236993,288.0974272
0.573026478,215.4102066,5.372544148,277.0447648
0.561237866,2699.808722,7.900936206,292.8594714
0.711691634,1474.209349,7.29587709,292.4052357
0.650037838,2447.783149,7.802938057,294.2083817
0.698727632,455.1222916,6.120566156,284.7073482
0.753068811,799.6686472,6.684197451,289.3447851
0.56017659,2677.348068,7.892582057,292.7877035
0.547087013,939.2429227,6.845074149,286.2876059
0.955814385,2488.925295,7.819606288,299.3657262
0.659020112,2455.145004,7.805941103,294.4042644
0.565933211,668.7600219,6.505425284,284.5765045
0.734010825,342.3930869,5.835959454,283.3857517
0.5798835,2437.829613,7.79886342,292.702687
0.990036041,2015.882149,7.60881217,298.5904864
0.831326529,2250.154318,7.718754079,296.9370317
0.557029298,1923.158719,7.561724279,290.8171833
0.644110263,1687.09343,7.430762463,291.9207728
0.726443905,1001.46171,6.909215922,290.3019104
0.971723713,902.888112,6.805598639,293.4040827
0.520111135,148.9360469,5.003516998,273.1581251
0.60348255,935.7342884,6.841331556,287.5093889
0.837336648,610.2220232,6.413822863,288.9511175
0.658450154,1430.356053,7.26567868,291.2200053
0.723452679,1358.663893,7.214257064,292.1241525
0.828517393,198.7051533,5.291822084,281.0065203
0.532040182,405.3296459,6.004700677,280.5228205
0.527496939,1202.820125,7.092424183,287.3383362
0.960272087,2006.254647,7.604024903,298.1591994
0.531810489,1113.693251,7.015437024,286.9746908
0.621367131,2166.910338,7.681057625,292.9204618
0.589649057,884.8692254,6.785439866,286.8663487
0.545256506,692.7456003,6.540662833,284.333282
0.635395025,1958.897524,7.580137106,292.6229469
0.914407581,1201.587083,7.091398531,294.4096934
0.593310507,2553.755763,7.845320403,293.2642593
0.608063271,1270.078364,7.146833881,289.4806851
0.683524794,869.3918667,6.767793963,288.6359939
0.598900463,2694.459961,7.898953078,293.6907888
0.592588227,331.1393922,5.802539411,280.4859815
0.732048558,1358.73915,7.214312453,292.2771503
0.86100939,1664.557475,7.417314586,295.6118419
0.648176272,251.9875247,5.529379581,279.6847809
0.682925909,2191.760393,7.692460332,294.2131543
0.802950767,2400.184233,7.783300777,296.8566959
0.887407094,2302.193764,7.741617758,297.9294966
0.832132913,1972.635533,7.587125762,296.176547
0.541626843,2524.84589,7.833935306,292.0197915
0.954017092,717.6512223,6.575983688,291.6870281
0.529359115,1696.15643,7.436120047,289.4297483
0.535239972,2339.741731,7.757795831,291.4332283
0.605495527,2162.040913,7.678807922,292.5724052
0.811520797,558.6103422,6.325452168,287.9685601
0.762400165,807.2056735,6.693578498,289.5622552
0.822062471,2519.335517,7.831750462,297.446513
0.902251277,1232.064479,7.11644648,294.3903555
0.71133386,2339.492773,7.757689421,295.1222253
0.799939961,799.0764072,6.68345657,290.1138437
0.993136602,341.9430404,5.834644175,287.1917753
0.65846413,2027.757862,7.61468596,293.2867141
0.877168443,2346.044883,7.760486161,297.8867901
0.962548058,1215.17779,7.102645674,295.1483897
0.796638465,2230.988406,7.710199998,296.3278685
0.8798088,1706.618604,7.442269267,296.0441794
0.548993866,1572.974028,7.360723392,289.4519684
0.875376133,1152.981284,7.050106288,293.5864063
0.636337622,521.6608664,6.257017696,284.43789
0.98624437,2016.627154,7.609181669,298.542007
0.540436826,860.4965266,6.757509579,285.5886095
0.872574391,609.0791345,6.411948201,289.4661019
0.544150927,938.5025216,6.844285543,286.2145887
0.978051939,965.3160602,6.872455571,293.9133748
0.750316709,1090.420195,6.994318401,291.2466197
0.732229131,887.0625046,6.787915447,289.6431001
0.828999095,2605.661105,7.865441705,297.7517469
0.875631367,515.3066665,6.244762192,288.4004961
0.802629113,1987.878263,7.594823149,295.7493859
0.507122774,1561.291151,7.353268419,288.3940846
0.992652789,592.4561429,6.38427685,290.9380875
0.620418435,1463.89784,7.288857911,290.5934754
0.515505782,2198.429194,7.695498382,290.5933089
0.899576631,732.1038463,6.59592237,291.0592528
0.531710447,512.1381224,6.238594359,282.066229
0.587720466,1248.304052,7.129541151,288.9407081
0.868449325,1228.46179,7.113518089,293.8755052
0.518837603,515.0106921,6.244187662,281.7972327
0.78575853,2645.640306,7.880668397,297.1346547
0.956256651,1260.27786,7.139087499,295.2883804
0.550235026,1270.453041,7.147128841,288.205708
0.80017102,1460.207188,7.286333614,293.8670117
0.70585178,1546.732561,7.34389996,292.5868798
0.982540875,1833.294722,7.513870022,297.9239221
0.94428867,1670.404196,7.42082091,296.8426569
0.5433796,1075.448127,6.980492716,287.0346694
0.798857768,779.9937954,6.659285965,289.9417793
0.500719872,718.8976687,6.577719023,283.4984456
0.945260682,248.4493213,5.515238886,284.2890983
0.597077044,2055.070269,7.628065321,292.0975578
0.787999226,1226.051062,7.111553765,292.6025214
0.884532482,663.4951652,6.497521567,290.2020666
0.612168913,1353.443025,7.210407014,289.9507333
0.91008382,1994.398636,7.598097848,297.4169894
0.876978362,2306.365494,7.743428185,297.7843327
0.764487507,355.1355739,5.872499615,284.14921
0.685989797,1019.402129,6.926971586,289.6774102
0.862743145,1927.837681,7.564154281,296.5141337
0.9656803,2069.214255,7.634924227,298.4165016
0.527196755,1375.068286,7.226258671,288.1352928
0.844535021,1012.181263,6.919862947,292.3092712
0.954661713,2454.684331,7.80575345,299.2689672
0.600900393,932.9363249,6.838336951,287.4362331
0.662558038,1190.026031,7.081730461,290.1849964
0.796531712,1410.136172,7.251441555,293.5963058
0.575396122,970.3665977,6.877673936,287.1292084
0.73938311,2671.589764,7.890428991,296.3921446
0.900451506,583.593797,6.369205188,289.5865321
0.664585955,1794.624721,7.49255121,292.6904184
0.764482335,778.1769278,6.656953912,289.363331
0.894971999,2164.983951,7.680168227,297.6810136
0.819937045,1533.618484,7.335385244,294.4809256
0.507839915,2198.675282,7.695610313,290.401439
0.737732018,866.9227472,6.764949869,289.5940068
0.787677178,1840.722208,7.517913278,295.0490944
0.514741987,1111.659085,7.01360885,286.5497934
0.775146479,2002.889202,7.602346018,295.3382209
0.819986578,2270.777682,7.727877643,296.8099357
0.810888058,1500.665611,7.313664029,294.2053097
0.553277358,2352.411157,7.763196105,291.8916675
0.682245905,2636.391758,7.877166503,295.263881
0.869689663,1035.794099,6.942923657,292.8336131
0.600920946,965.0999631,6.872231685,287.6472412
0.675089982,587.7541708,6.376308784,285.9667398
0.561876663,1215.659496,7.103042004,288.2062635
0.993790289,1600.993045,7.378379369,297.2574918
0.83558044,1868.16012,7.532709332,295.9084671
0.99017596,177.0736309,5.17656564,282.3671904
0.972234625,436.1268298,6.077933095,288.6068517
0.77736773,1392.546683,7.238889496,293.2040665
0.894401468,814.8456692,6.702998732,291.6751427
0.835013368,2172.275877,7.683530688,296.7890556
0.770457934,1950.815881,7.576002965,295.103922
0.945687423,2120.461115,7.659388851,298.2850809
0.665318554,1367.918015,7.221045166,291.0847511
0.825111416,1134.54392,7.033986017,292.7196382
0.936945893,265.2706265,5.580750537,284.6509602
0.609729609,1716.738053,7.448181288,291.3161216
0.898217497,1245.772719,7.127511274,294.4003134
0.76130661,1304.508121,7.17358133,292.5362393
0.803280663,1434.502643,7.268573478,293.8098407
0.937415788,2648.498671,7.881748219,299.4694047
0.623991189,346.5722881,5.848091421,281.4409382
0.5791807,1934.637326,7.567675159,291.3539066
0.504752004,904.815762,6.807731345,285.0387016
1,62.5,4.135166557,274.8166667
0.9,74.8,4.314817885,274.8166667
0.8,92.4,4.526126979,274.8166667
0.7,117.22,4.764052511,274.8166667
0.6,175.6,5.168208681,274.8166667
1,64.8,4.171305603,275.15
0.9,77.3,4.347693956,275.15
0.8,94.8,4.551769409,275.15
0.7,119,4.779123493,275.15
0.6,183.4,5.21166956,275.15
1,68.68,4.229458036,275.5111111
0.9,80,4.382026635,275.5111111
0.8,97.4,4.578826211,275.5111111
0.7,124.2,4.821893169,275.5111111
0.6,191.5,5.254887809,275.5111111
1,72.3,4.280824129,275.8444444
0.9,84.8,4.440295543,275.8444444
0.8,104.4,4.648229675,275.8444444
0.7,129.68,4.865069877,275.8444444
0.6,195.7,5.276582874,275.8444444
1,74.8,4.314817885,276.2055556
0.9,90,4.49980967,276.2055556
0.8,109.05,4.691806493,276.2055556
0.7,135.4,4.90823336,276.2055556
0.6,200,5.298317367,276.2055556
1,77.3,4.347693956,276.5388889
0.9,94.87,4.552507533,276.5388889
0.8,113.88,4.735145262,276.5388889
0.7,141.42,4.951734186,276.5388889
0.6,210.4,5.349010481,276.5388889
1,80,4.382026635,276.9
0.9,97.4,4.578826211,276.9
0.8,118.92,4.778450998,276.9
0.7,147.68,4.995047771,276.9
0.6,221.37,5.39983551,276.9
1,84.4,4.435567402,277.2333333
0.9,100,4.605170186,277.2333333
0.8,113.88,4.735145262,277.2333333
0.7,154.22,5.038380154,277.2333333
0.6,232.86,5.450437415,277.2333333
1,90,4.49980967,277.5944444
0.9,109,4.691347882,277.5944444
0.8,129,4.859812404,277.5944444
0.7,161.05,5.081714876,277.5944444
0.6,244.95,5.501054108,277.5944444
1,92.4,4.526126979,277.9277778
0.9,110,4.700480366,277.9277778
0.8,130,4.86753445,277.9277778
0.7,168.18,5.125034834,277.9277778
0.6,245.5,5.503296947,277.9277778
1,94.87,4.552507533,278.2888889
0.9,111,4.709530201,278.2888889
0.8,131,4.875197323,278.2888889
0.7,175.6,5.168208681,278.2888889
0.6,257.68,5.551718505,278.2888889
1,97.4,4.578826211,278.6222222
0.9,112,4.718498871,278.6222222
0.8,135.4,4.90823336,278.6222222
0.7,177,5.176149733,278.6222222
0.6,260,5.560681631,278.6222222
1,104.4,4.648229675,278.9833333
0.9,113.88,4.735145262,278.9833333
0.8,147.42,4.993285656,278.9833333
0.7,183.4,5.21166956,278.9833333
0.6,271.08,5.60241398,278.9833333
1,109.05,4.691806493,279.3166667
0.9,129.68,4.865069877,279.3166667
0.8,154.2,5.038250461,279.3166667
0.7,192,5.257495372,279.3166667
0.6,285.17,5.653085494,279.3166667
1,118,4.770684624,279.6777778
0.9,131,4.875197323,279.6777778
0.8,156,5.049856007,279.6777778
0.7,200,5.298317367,279.6777778
0.6,300,5.703782475,279.6777778
1,124,4.820281566,280.0111111
0.9,141.2,4.950177325,280.0111111
0.8,175,5.164785974,280.0111111
0.7,210,5.347107531,280.0111111
0.6,311,5.739792912,280.0111111
1,129.68,4.865069877,280.3722222
0.9,147.68,4.995047771,280.3722222
0.8,183,5.209486153,280.3722222
0.7,221,5.398162702,280.3722222
0.6,322,5.774551546,280.3722222
1,135,4.905274778,280.7055556
0.9,154,5.036952602,280.7055556
0.8,191,5.252273428,280.7055556
0.7,232,5.446737372,280.7055556
0.6,330,5.799092654,280.7055556
1,141.42,4.951734186,281.0666667
0.9,168,5.123963979,281.0666667
0.8,200,5.298317367,281.0666667
0.7,244,5.497168225,281.0666667
0.6,347,5.84932478,281.0666667
1,147.68,4.995047771,281.4
0.9,175.6,5.168208681,281.4
0.8,210,5.347107531,281.4
0.7,257,5.549076085,281.4
0.6,368,5.908082938,281.4
1,154.22,5.038380154,281.7611111
0.9,183,5.209486153,281.7611111
0.8,223,5.407171771,281.7611111
0.7,271,5.602118821,281.7611111
0.6,380,5.940171253,281.7611111
1,168.18,5.125034834,282.0944444
0.9,195,5.272999559,282.0944444
0.8,232,5.446737372,282.0944444
